Symbol,Name,Unnamed: 2,Price,Change,Change %,52 Wk Range,Source,Scrape_Time
EURUSD=X,EUR/USD,,1.1519 -0.0075 (-0.65%),-0.0075,-0.65%,1.09 1.20,Yahoo Finance,2026-04-02 18:27:41
JPY=X,USD/JPY,,159.6400 +0.9600 (+0.60%),0.96,+0.60%,139.89 160.23,Yahoo Finance,2026-04-02 18:27:41
GBPUSD=X,GBP/USD,,1.3190 -0.0119 (-0.90%),-0.0119,-0.90%,1.27 1.38,Yahoo Finance,2026-04-02 18:27:41
AUDUSD=X,AUD/USD,,0.6867 -0.0063 (-0.90%),-0.0063,-0.90%,0.59 0.72,Yahoo Finance,2026-04-02 18:27:41
NZDUSD=X,NZD/USD,,0.5708 -0.0045 (-0.78%),-0.0045,-0.78%,0.55 0.61,Yahoo Finance,2026-04-02 18:27:41
EURJPY=X,EUR/JPY,,183.8080 -0.0740 (-0.04%),-0.074,-0.04%,159.06 186.86,Yahoo Finance,2026-04-02 18:27:41
GBPJPY=X,GBP/JPY,,210.5100 -0.5450 (-0.26%),-0.545,-0.26%,184.42 214.99,Yahoo Finance,2026-04-02 18:27:41
EURGBP=X,EUR/GBP,,0.8731 +0.0022 (+0.25%),0.0022,+0.25%,0.83 0.89,Yahoo Finance,2026-04-02 18:27:41
EURCAD=X,EUR/CAD,,1.6033 -0.0043 (-0.27%),-0.0043,-0.27%,1.54 1.65,Yahoo Finance,2026-04-02 18:27:41
EURSEK=X,EUR/SEK,,10.9386 +0.0413 (+0.38%),0.0413,+0.38%,10.50 11.33,Yahoo Finance,2026-04-02 18:27:41
EURCHF=X,EUR/CHF,,0.9217 +0.0019 (+0.21%),0.0019,+0.21%,0.90 0.96,Yahoo Finance,2026-04-02 18:27:41
EURHUF=X,EUR/HUF,,383.5650 +0.5404 (+0.14%),0.5404,+0.14%,374.17 410.86,Yahoo Finance,2026-04-02 18:27:41
CNY=X,USD/CNY,,6.8952 +0.0237 (+0.34%),0.0237,+0.34%,6.84 7.35,Yahoo Finance,2026-04-02 18:27:41
HKD=X,USD/HKD,,7.8370 -0.0002 (-0.00%),-0.0002,-0.00%,7.75 7.85,Yahoo Finance,2026-04-02 18:27:41
SGD=X,USD/SGD,,1.2877 +0.0050 (+0.39%),0.005,+0.39%,1.26 1.35,Yahoo Finance,2026-04-02 18:27:41
INR=X,USD/INR,,93.1040 -0.0820 (-0.09%),-0.082,-0.09%,72.97 95.15,Yahoo Finance,2026-04-02 18:27:41
MXN=X,USD/MXN,,17.9387 +0.1387 (+0.78%),0.1387,+0.78%,17.07 21.08,Yahoo Finance,2026-04-02 18:27:41
PHP=X,USD/PHP,,60.6360 +0.4720 (+0.78%),0.472,+0.78%,50.32 61.07,Yahoo Finance,2026-04-02 18:27:41
IDR=X,USD/IDR,,"16,990.0000 -7.0000 (-0.04%)",-7.0,-0.04%,"14,670.40 17,322.60",Yahoo Finance,2026-04-02 18:27:41
THB=X,USD/THB,,32.7400 +0.1200 (+0.37%),0.12,+0.37%,30.82 34.98,Yahoo Finance,2026-04-02 18:27:41
MYR=X,USD/MYR,,4.0360 +0.0120 (+0.30%),0.012,+0.30%,3.88 4.51,Yahoo Finance,2026-04-02 18:27:41
ZAR=X,USD/ZAR,,16.9957 +0.1953 (+1.16%),0.1953,+1.16%,15.63 19.93,Yahoo Finance,2026-04-02 18:27:41
RUB=X,USD/RUB,,80.3900 +0.1650 (+0.21%),0.165,+0.21%,73.98 87.11,Yahoo Finance,2026-04-02 18:27:41
,,,,,,,Yahoo Finance,2026-04-02 18:27:41
